,feature,VIF
0,Index,2.7093543151983814
1,node,2.3518732125276656
2,sex,1.786859842209766
3,ethnicity,2.2655783636976663
4,history_other_malignancy.x,1.433830764169717
5,status,2.232966482931523
6,age,2.1833087308864942
7,hpv_status,4.06754339141303
8,ever_smoker,2.3569607168274334
9,time,2.1343343483302086
10,ADAM23_8745,5.290839507052628
11,ADAMTSL1_92949,10.10150712889269
12,ALK_238,2.4049354518806174
13,APC_324,3.225345682430861
14,ARHGEF2_9181,4.482205593294469
15,ATAD3C_219293,5.324451469949859
16,ATM_472,7.338167742777853
17,ATP10A_57194,7.136179571997905
18,AXIN1_8312,3.7406233757050904
19,BARX2_8538,2.595120232640668
20,BEX1_55859,28.554945731794575
21,BIN1_274,8.269114988536945
22,CABIN1_23523,4.21913289213378
23,BIRC5_332,5.738257783272496
24,BOK_666,3.716041439343777
25,CAMP_820,3.072850918658513
26,CCNA1_8900,2.4284118425345262
27,CD1A_909,2.639234142251859
28,CD44_960,3.1335608663403374
29,CDH1_999,4.667281720696439
30,CDH13_1012,3.497649312554189
31,CDKN2A_1029,4.440551439683299
32,CEBPA_1050,3.388521259436752
33,CIT_11113,6.380964394047661
34,CLDN11_5010,6.2589783637448235
35,CLDN4_1364,4.8443660835784055
36,COL1A2_1278,19.4941152696063
37,CRABP1_1381,37.49044043432379
38,CTHRC1_115908,11.024978967332522
39,CYGB_114757,4.058261119091314
40,CYP1A1_1543,1.8268734638790727
41,CYP2A13_1553,1.8647523399665367
42,DAB2IP_153090,3.741186233759153
43,DACT1_51339,15.356638295092706
44,DAPK1_1612,3.2176790230144596
45,DCC_1630,2.663655584897319
46,DDAH2_23564,8.553556517751895
47,DLEC1_9940,3.496154696738999
48,DUSP1_1843,2.594655983477451
49,EGF_1950,5.783653571740068
50,EPHA2_1969,3.92763463965353
51,ERCC1_2067,3.6356688925935257
52,ESR2_2100,2.3881117560516785
53,FHIT_2272,4.064235330907061
54,FOXM1_2305,4.6003237223925835
55,GABBR1_2550,6.886868157942661
56,GABRA1_2554,19.077713166246532
57,GADD45A_1647,4.034508651193787
58,GALC_2581,3.079011402251864
59,GALR1_2587,2.205904936385011
60,GNG7_2788,13.901465138329707
61,GRB7_2886,1.8902759048908266
62,GSTM1_2944,2.1540077625941114
63,GSTP1_2950,4.661024478194105
64,CDH19_28513,2.351223514822091
65,H19_283120,2.457350765942691
66,HGF_3082,2.4680958719437185
67,HOXA9_3205,4.118256881921788
68,HOXB2_3212,6.41907268765726
69,HSD17B12_51144,2.4020588083790124
70,HYAL2_8692,4.523906927441391
71,IGFBP7_3490,7.690632559985537
72,IL27_246778,4.16078541562361
73,IL8_3576,2.622257160727556
74,INPP5A_3632,4.369205904032523
75,IRF4_3662,6.396546448562528
76,IRF7_3665,3.60033684360857
77,IRX4_50805,2.8641691653779824
78,JAK3_3718,9.975931974852701
79,KCNQ1_3784,3.6255844821974397
80,KIF1A_547,3.23334300439637
81,LARGE_9215,3.675551793726311
82,LARS2_23395,4.407898379207452
83,LATS1_9113,8.060010070994695
84,LATS2_26524,7.147132386107133
85,LDOC1_23641,3.2671322820056847
86,LTF_4057,3.3653796321691707
87,MEG3_55384,5.665781444210991
88,MGMT_4255,5.498283158942645
89,MLH1_4292,4.75410672254373
90,MMP21_118856,2.155374764315232
91,MST1_4485,9.997723322102944
92,MTHFR_4524,4.157512215022665
93,NDN_4692,2.9914380702486
94,NID2_22795,19.806280858968048
95,NPY1R_4886,3.3927857239787733
96,NPY2R_4887,2.409547543190299
97,NTRK3_4916,4.772825618006144
98,OLIG1_116448,4.074942925071093
99,TP73_7161,4.43036342797377
100,PAR4_347745,2.1648477460105373
101,PAX1_5075,4.881276420948099
102,PLCD1_5333,6.149206762061852
103,PLEKHA6_22874,4.227664318883477
104,PODXL_5420,6.738974873130139
105,POU4F2_5458,1.75313472612402
106,PTEN_5728,3.599406162177477
107,PTHLH_5744,3.019885874589028
108,PWWP2B_170394,5.005063315912493
109,RAB25_57111,8.809909707855265
110,RARB_5915,4.491533912132319
111,RASSF4_83937,6.403292198320657
112,RB1_5925,3.175746707718153
113,RECK_8434,8.201074488305702
114,RHCG_51458,3.6381452950626705
115,RIPK1_8737,3.3539048431027756
116,RUNX1T1_862,11.685308871402187
117,RUNX3_864,5.083025410426279
118,SAFB2_9667,3.987415629091938
119,SEPT9_10801,4.098068374521237
120,SERPINF1_5176,7.075561346494755
121,SFN_2810,6.799044511904581
122,SFRP1_6422,2.4251801971514553
123,SFRP2_6423,9.420969845421707
124,SFRP4_6424,5.418900032951462
125,SFRP5_6425,24.7397561471795
126,SH3BP5_9467,10.349849570705429
127,SHOX2_6474,3.2957721859305305
128,SIM2_6493,4.91247146955722
129,SLC6A5_9152,2.524039701436895
130,SLIT2_9353,5.735801089285506
131,SLURP1_57152,3.9391495942935
132,SMG1_23049,7.42746541423392
133,SNCG_6623,4.643864550250568
134,SOX1_6656,2.5487522893622567
135,SPDEF_25803,6.839778577227214
136,SRC_6714,2.560758061623299
137,SSTR1_6751,3.643808141472737
138,STAT5A_6776,5.743976347213274
139,SYK_6850,4.566480971375747
140,TAC1_6863,5.843819657601817
141,TCF21_6943,2.2844183568408405
142,TFPI2_7980,2.0537361380183348
143,TGFBR1_7046,3.3975352864081323
144,TGFBR2_7048,6.997204420629866
145,THBS1_7057,4.338624817905342
146,TIMP3_7078,4.999518856235539
147,TMEFF2_23671,13.936930029634384
148,TRIM16_10626,3.4102703943272585
149,TUSC3_7991,3.913581523661994
150,TWIST1_7291,39.04795691864867
151,UCHL1_7345,4.158998760834924
152,VAV1_7409,8.979130523956167
153,VIM_7431,10.488278198436596
154,WIF1_11197,6.146184212850025
155,WISP1_8840,2.6127110659625017
156,ZAP70_7535,6.284568812807606
157,ZCCHC14_23174,4.239543574333701
158,ZMYND10_51364,1.9371958142385761
159,ZNF582_147948,3.4907069792997585
160,race_2.0,19.632963758512403
161,race_3.0,54.17804832668241
162,race_4.0,68.82669183528161
163,margin_status_1.0,inf
164,margin_status_2.0,inf
165,margin_status_3.0,inf
166,site_1,inf
167,site_2,inf
168,site_3,inf
